P1	P2	P3	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
javanicus	HdrR	MIKK	19	0.8734416888302938	50.33396678201067	0.6646144821806003	0.5843353394163969	0.7448936249448036
javanicus	HdrR	MIKK	20	0.9035056611085618	68.37553297706046	0.6770452931325731	0.6076876484573807	0.7464029378077656
javanicus	HdrR	MIKK	21	0.9241278468670685	95.67610384061483	0.7742049734988834	0.7181359254032942	0.8302740215944726
javanicus	HdrR	MIKK	22	0.8862482484081229	53.09036271388765	0.6421717349400143	0.5656759990308917	0.718667470849137
javanicus	HdrR	MIKK	23	0.9321322706007512	88.57263387107918	0.7881553753581975	0.7324592622689254	0.8438514884474695
javanicus	HdrR	MIKK	24	0.9079845959282391	72.86942781191293	0.7139010581405228	0.6478538735414352	0.7799482427396105
javanicus	HNI	MIKK	all	0.6851239387741127	90.09073552055824	0.21166822185003378	0.19822029182986853	0.22511615187019904
javanicus	HNI	MIKK	1	0.5711743414022922	21.13441146823735	0.11955243087961959	0.09881054502460732	0.14029431673463186
javanicus	HNI	MIKK	2	0.6180093297803148	14.381598729334451	0.15971327952887124	0.11408039322006591	0.20534616583767656
javanicus	HNI	MIKK	3	0.7779492257469539	59.41043997812887	0.33549705618769043	0.31412150817823076	0.3568726041971501
javanicus	HNI	MIKK	4	0.6093651006538803	13.649953098224948	0.1377681335427457	0.08645503403002139	0.18908123305547
javanicus	HNI	MIKK	5	0.7693540180083259	49.9917816704362	0.3318082199305705	0.30873811613142604	0.354878323729715
javanicus	HNI	MIKK	6	0.7800181756514226	45.95771772562801	0.32517450642392864	0.3084224027461623	0.341926610101695
javanicus	HNI	MIKK	7	0.76362143103774	61.00450498397395	0.3245317388832223	0.30440931007060973	0.34465416769583485
javanicus	HNI	MIKK	8	0.6946089705486879	25.871441202934214	0.25367509364431495	0.19885761292824428	0.30849257436038563
javanicus	HNI	MIKK	9	0.7571761036570647	54.427249937965136	0.3203793737621733	0.2973035178437429	0.34345522968060366
javanicus	HNI	MIKK	10	0.588651543591191	19.82865716690958	0.12721760210670396	0.10093166645232585	0.15350353776108208
javanicus	HNI	MIKK	11	0.7886145501939091	41.51283556310522	0.37105391757321765	0.3427649271258134	0.3993429080206219
javanicus	HNI	MIKK	12	0.784974272280547	38.485138292574305	0.3247840781071522	0.2744697780124312	0.3750983782018732
javanicus	HNI	MIKK	13	0.7468416193856794	26.945837373703142	0.3236261388255092	0.28662039635488024	0.3606318812961382
javanicus	HNI	MIKK	14	0.7406069754510265	33.79071630960781	0.2703638917417182	0.20287279178817547	0.33785499169526095
javanicus	HNI	MIKK	15	0.636170880839688	15.859006161993438	0.16918668807273	0.10905235960042581	0.22932101654503417
javanicus	HNI	MIKK	16	0.6655812799807848	15.128834712554143	0.21674427301491722	0.15382729041670837	0.27966125561312605
javanicus	HNI	MIKK	17	0.7167245298266625	25.81530218474805	0.2512449058422132	0.17292703422095373	0.3295627774634727
javanicus	HNI	MIKK	18	0.6545125603557594	9.42894279135728	0.2036350850135981	0.09467603910674931	0.31259413092044686
