P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
melastigma	HdrR	17	0.952740591383942	80.1878803899429	0.790243150034998	0.689019482334852	0.863692654866655
melastigma	HdrR	18	0.924100203307128	68.0970617591949	0.79730255290742	0.71280273412819	0.839909403073317
melastigma	HdrR	19	0.920709944982677	66.1839469547241	0.737013318799441	0.702751062269355	0.849961074932152
melastigma	HdrR	20	0.903841342266106	33.1497597118936	0.669156320326741	0.656054592165256	0.896657545036251
melastigma	HdrR	21	0.967572190132711	131.493169000485	0.851525481782547	0.722355558744374	0.830356578457133
melastigma	HdrR	22	0.877623097524392	37.7318729420938	0.592932234647046	0.683325211553805	0.869386925647702
melastigma	HdrR	23	0.961378411512943	72.5001637206658	0.858532620529556	0.710865364379952	0.841846772821555
melastigma	HdrR	24	0.934194248236406	64.6081120363692	0.76787208716904	0.680610704622273	0.872101432579234
melastigma	HNI	all	0.653047845399895	50.9248678661954	0.193600698271482	0.177298407550277	0.209902988992687
melastigma	HNI	1	0.587042539152644	14.0547938856297	0.118613954419163	0.169446068559247	0.217755327983717
melastigma	HNI	2	0.521807780933092	5.66599549208505	0.144536615181841	0.119392580190827	0.267808816352137
melastigma	HNI	3	0.799496815854692	38.5970352850278	0.350620669282799	0.162330672312217	0.224870724230747
melastigma	HNI	4	0.508356818152367	7.58323235086285	0.104665217082157	0.150297983740892	0.236903412802071
melastigma	HNI	5	0.810148236382798	61.5939014282711	0.343927660412462	0.171271742988657	0.215929653554306
melastigma	HNI	6	0.773979166634981	21.5469923956071	0.319253744694722	0.151786452943173	0.235414943599791
melastigma	HNI	7	0.756579981250292	32.2928570626384	0.330951923944098	0.159957208979456	0.227244187563507
melastigma	HNI	8	0.656572586857266	9.68640607307967	0.237945885156528	0.0982321790332975	0.288969217509666
melastigma	HNI	9	0.751171875496274	31.7305814311767	0.313073622118376	0.165901842778936	0.221299553764027
melastigma	HNI	10	0.461375371202196	4.99496586655403	0.0857579222027695	0.145753958402729	0.241447438140235
melastigma	HNI	11	0.760745287876345	15.6002295912957	0.342852263357037	0.11060011423085	0.276601282312114
