dataset,chr,bin_bdr,mean,bin_bdr_kb
mikk,3,4800,0.157074662330728,4.8
mikk,3,4900,0.156655212286587,4.9
mikk,3,5000,0.154879789307805,5
mikk,3,5100,0.154975433448329,5.1
mikk,3,5200,0.15326949099311,5.2
mikk,3,5300,0.152837152461511,5.3
mikk,3,5400,0.151901212978329,5.4
mikk,3,5500,0.151189830851892,5.5
mikk,3,5600,0.147528200153531,5.6
mikk,3,5700,0.145554283120379,5.7
mikk,3,5800,0.145691792504791,5.8
mikk,3,5900,0.143637342377262,5.9
mikk,3,6000,0.141705917607797,6
mikk,3,6100,0.144418462113034,6.1
mikk,3,6200,0.145718962429398,6.2
mikk,3,6300,0.143700794324331,6.3
mikk,3,6400,0.139981755443478,6.4
mikk,3,6500,0.140245006650216,6.5
mikk,3,6600,0.143016074590588,6.6
mikk,3,6700,0.138822456075991,6.7
mikk,3,6800,0.140841520895047,6.8
mikk,3,6900,0.139412869252237,6.9
mikk,3,7000,0.139333293730117,7
mikk,3,7100,0.138540560253951,7.1
mikk,3,7200,0.135918976070273,7.2
mikk,3,7300,0.132663664865602,7.3
mikk,3,7400,0.131602711812221,7.4
mikk,3,7500,0.134905485940675,7.5
mikk,3,7600,0.134101553112244,7.6
mikk,3,7700,0.133230519890514,7.7
mikk,3,7800,0.135155139422804,7.8
mikk,3,7900,0.138545497894373,7.9
mikk,3,8000,0.136705912680082,8
mikk,3,8100,0.13600811082444,8.1
mikk,3,8200,0.137092959634682,8.2
mikk,3,8300,0.135359167306024,8.3
mikk,3,8400,0.13281796253665,8.4
mikk,3,8500,0.131977460201585,8.5
mikk,3,8600,0.128422446735362,8.6
mikk,3,8700,0.131093109467843,8.7
mikk,3,8800,0.131104749177981,8.8
mikk,3,8900,0.131491341939032,8.9
mikk,3,9000,0.12924201482663,9
mikk,3,9100,0.12966020410673,9.1
mikk,3,9200,0.132328151483721,9.2
mikk,3,9300,0.129964954925857,9.3
mikk,3,9400,0.13072090001857,9.4
mikk,3,9500,0.127706434094165,9.5
mikk,3,9600,0.127024664689484,9.6
mikk,3,9700,0.126856072057527,9.7
mikk,3,9800,0.125818206449869,9.8
mikk,3,9900,0.122230811311607,9.9
mikk,4,0,0.498945106120772,0
mikk,4,100,0.381674579889837,0.1
mikk,4,200,0.364640216805336,0.2
mikk,4,300,0.354752482285433,0.3
mikk,4,400,0.348477649151918,0.4
mikk,4,500,0.348434938153706,0.5
mikk,4,600,0.342776109560794,0.6
mikk,4,700,0.338616136925425,0.7
mikk,4,800,0.333323734828851,0.8
mikk,4,900,0.333074722965512,0.9
mikk,4,1000,0.330675737320448,1
mikk,4,1100,0.320413512411262,1.1
mikk,4,1200,0.311566468369394,1.2
mikk,4,1300,0.308156042024673,1.3
mikk,4,1400,0.303856483422573,1.4
mikk,4,1500,0.296891667509738,1.5
mikk,4,1600,0.293185398874601,1.6
mikk,4,1700,0.286671890355535,1.7
mikk,4,1800,0.282250239875177,1.8
mikk,4,1900,0.281804084279614,1.9
mikk,4,2000,0.272761902332375,2
mikk,4,2100,0.272441439329897,2.1
mikk,4,2200,0.265077305889571,2.2
mikk,4,2300,0.261504148295929,2.3
mikk,4,2400,0.256785750958755,2.4
mikk,4,2500,0.259576957311008,2.5
mikk,4,2600,0.256132935796188,2.6
mikk,4,2700,0.253102229760279,2.7
mikk,4,2800,0.249896920811769,2.8
mikk,4,2900,0.248431840949487,2.9
mikk,4,3000,0.241171810389435,3
mikk,4,3100,0.241502641029401,3.1
mikk,4,3200,0.237387092448248,3.2
mikk,4,3300,0.235301424772774,3.3
mikk,4,3400,0.234471775459073,3.4
mikk,4,3500,0.231535107814066,3.5
mikk,4,3600,0.226556596299393,3.6
mikk,4,3700,0.2244595828331,3.7
mikk,4,3800,0.221184979737649,3.8
mikk,4,3900,0.21602502325986,3.9
mikk,4,4000,0.210645321844524,4
mikk,4,4100,0.204432508012419,4.1
mikk,4,4200,0.200848591635043,4.2
mikk,4,4300,0.198677058240658,4.3
mikk,4,4400,0.197664175804792,4.4
mikk,4,4500,0.19823118024936,4.5
mikk,4,4600,0.192610609230519,4.6
mikk,4,4700,0.187955487428981,4.7
mikk,4,4800,0.186940723211443,4.8
mikk,4,4900,0.184280877517633,4.9
mikk,4,5000,0.181940508588708,5
mikk,4,5100,0.18417965025174,5.1
mikk,4,5200,0.180326553220311,5.2
mikk,4,5300,0.179471509551583,5.3
mikk,4,5400,0.176328176152303,5.4
mikk,4,5500,0.176483949532455,5.5
mikk,4,5600,0.174383035209221,5.6
mikk,4,5700,0.170959190467494,5.7
mikk,4,5800,0.167867970060056,5.8
mikk,4,5900,0.170395494814798,5.9
mikk,4,6000,0.167914387457447,6
mikk,4,6100,0.164534682277756,6.1
mikk,4,6200,0.161534237879624,6.2
mikk,4,6300,0.161132158381093,6.3
mikk,4,6400,0.162894332505757,6.4
mikk,4,6500,0.160069655747627,6.5
mikk,4,6600,0.157218452967461,6.6
mikk,4,6700,0.156314083672278,6.7
mikk,4,6800,0.156817998864367,6.8
mikk,4,6900,0.153333262096587,6.9
mikk,4,7000,0.15019996383022,7
mikk,4,7100,0.152339591441926,7.1
mikk,4,7200,0.150853016781275,7.2
mikk,4,7300,0.150657164599674,7.3
mikk,4,7400,0.145810412356153,7.4
mikk,4,7500,0.143302809257696,7.5
mikk,4,7600,0.144937938315225,7.6
mikk,4,7700,0.141694862402434,7.7
mikk,4,7800,0.139579554782612,7.8
mikk,4,7900,0.138531920744013,7.9
mikk,4,8000,0.1367761737412,8
mikk,4,8100,0.13387966809706,8.1
mikk,4,8200,0.134022446218734,8.2
mikk,4,8300,0.133209926464018,8.3
mikk,4,8400,0.130828696988069,8.4
mikk,4,8500,0.129676032551054,8.5
mikk,4,8600,0.129649989057511,8.6
mikk,4,8700,0.127729958558069,8.7
mikk,4,8800,0.124498760532555,8.8
mikk,4,8900,0.123500858438612,8.9
mikk,4,9000,0.123592780918774,9
mikk,4,9100,0.123035444144791,9.1
mikk,4,9200,0.123364203578086,9.2
mikk,4,9300,0.122286658211636,9.3
mikk,4,9400,0.12280647430645,9.4
mikk,4,9500,0.120830086323874,9.5
mikk,4,9600,0.119919110058864,9.6
mikk,4,9700,0.117896240457917,9.7
mikk,4,9800,0.117658805198943,9.8
mikk,4,9900,0.115621223179049,9.9
mikk,5,0,0.471488908417679,0
mikk,5,100,0.327923567641907,0.1
mikk,5,200,0.310077062673696,0.2
mikk,5,300,0.299842163749909,0.3
mikk,5,400,0.29144152811613,0.4
mikk,5,500,0.287401440825807,0.5
mikk,5,600,0.282898630072958,0.6
mikk,5,700,0.275585665099519,0.7
mikk,5,800,0.268274615832184,0.8
mikk,5,900,0.264200416905575,0.9
mikk,5,1000,0.261391125809282,1
mikk,5,1100,0.256133890223273,1.1
mikk,5,1200,0.246775740198052,1.2
mikk,5,1300,0.238499081233014,1.3
mikk,5,1400,0.236500334219361,1.4
mikk,5,1500,0.235084815989367,1.5
mikk,5,1600,0.232298007726237,1.6
mikk,5,1700,0.221093904951845,1.7
mikk,5,1800,0.215590311072467,1.8
mikk,5,1900,0.216284804218946,1.9
mikk,5,2000,0.212642202400425,2
mikk,5,2100,0.207115682196433,2.1
mikk,5,2200,0.202655480358644,2.2
mikk,5,2300,0.200491345081966,2.3
mikk,5,2400,0.196772507268206,2.4
mikk,5,2500,0.194484732680568,2.5
mikk,5,2600,0.192042817291343,2.6
mikk,5,2700,0.189073297906174,2.7
mikk,5,2800,0.184005000587922,2.8
mikk,5,2900,0.180232988226067,2.9
mikk,5,3000,0.17815917970034,3
mikk,5,3100,0.176927149221344,3.1
mikk,5,3200,0.17740063641769,3.2
mikk,5,3300,0.17458726124349,3.3
mikk,5,3400,0.171878676509246,3.4
mikk,5,3500,0.169061747462589,3.5
mikk,5,3600,0.167482786960389,3.6
mikk,5,3700,0.167103941400043,3.7
mikk,5,3800,0.161372185290087,3.8
mikk,5,3900,0.160813261397152,3.9
mikk,5,4000,0.157660434587623,4
mikk,5,4100,0.157181502107039,4.1
mikk,5,4200,0.155935858470812,4.2
mikk,5,4300,0.155423889268065,4.3
mikk,5,4400,0.152583580496761,4.4
mikk,5,4500,0.151172006140486,4.5
mikk,5,4600,0.149935032116079,4.6
mikk,5,4700,0.147749592681166,4.7
mikk,5,4800,0.143275378894599,4.8
mikk,5,4900,0.141201174737376,4.9
mikk,5,5000,0.139187919193961,5
mikk,5,5100,0.138037248977156,5.1
mikk,5,5200,0.135753338007289,5.2
mikk,5,5300,0.13860495247083,5.3
mikk,5,5400,0.139327967130436,5.4
mikk,5,5500,0.133694877591023,5.5
mikk,5,5600,0.132692874157431,5.6
mikk,5,5700,0.134347073430547,5.7
mikk,5,5800,0.133751760962916,5.8
mikk,5,5900,0.132193612348333,5.9
mikk,5,6000,0.128597401760853,6
mikk,5,6100,0.128425190198041,6.1
mikk,5,6200,0.125562445227742,6.2
mikk,5,6300,0.125037010115579,6.3
mikk,5,6400,0.123938140438301,6.4
mikk,5,6500,0.125499728836845,6.5
mikk,5,6600,0.125378556334958,6.6
mikk,5,6700,0.124669031686148,6.7
mikk,5,6800,0.122521729604753,6.8
mikk,5,6900,0.121696438482034,6.9
mikk,5,7000,0.117008926883257,7
mikk,5,7100,0.119054270404536,7.1
mikk,5,7200,0.120083888517488,7.2
mikk,5,7300,0.115530983227798,7.3
mikk,5,7400,0.11428340324247,7.4
mikk,5,7500,0.11271334650531,7.5
mikk,5,7600,0.109962918580325,7.6
mikk,5,7700,0.107507753352655,7.7
mikk,5,7800,0.107963499856385,7.8
mikk,5,7900,0.107016802483314,7.9
mikk,5,8000,0.106416513188761,8
mikk,5,8100,0.104718902298855,8.1
mikk,5,8200,0.106878580671922,8.2
mikk,5,8300,0.106220183450777,8.3
mikk,5,8400,0.108204692510681,8.4
mikk,5,8500,0.105926132644011,8.5
mikk,5,8600,0.10615888026505,8.6
mikk,5,8700,0.107955352707935,8.7
mikk,5,8800,0.107326795518341,8.8
mikk,5,8900,0.106770809346583,8.9
mikk,5,9000,0.104829173437951,9
mikk,5,9100,0.105047257693575,9.1
mikk,5,9200,0.103394654967054,9.2
mikk,5,9300,0.101186280135433,9.3
mikk,5,9400,0.101697096860504,9.4
mikk,5,9500,0.101275062257547,9.5
mikk,5,9600,0.100956097753538,9.6
mikk,5,9700,0.0991008887565931,9.7
mikk,5,9800,0.10085358415339,9.8
mikk,5,9900,0.100147740527055,9.9
mikk,6,0,0.488245071977496,0
mikk,6,100,0.361878761514837,0.1
mikk,6,200,0.344028262594426,0.2
mikk,6,300,0.34006710589884,0.3
mikk,6,400,0.339812891687945,0.4
mikk,6,500,0.339088743367491,0.5
mikk,6,600,0.332792464673867,0.6
mikk,6,700,0.328423681854861,0.7
mikk,6,800,0.323442275709746,0.8
mikk,6,900,0.31843346500859,0.9
mikk,6,1000,0.317772315788409,1
mikk,6,1100,0.314550205622231,1.1
mikk,6,1200,0.307471956511003,1.2
mikk,6,1300,0.299158788331756,1.3
mikk,6,1400,0.294936861235781,1.4
mikk,6,1500,0.291091707145569,1.5
mikk,6,1600,0.2846259844453,1.6
mikk,6,1700,0.279608613841553,1.7
mikk,6,1800,0.277183408613041,1.8
mikk,6,1900,0.270475085453468,1.9
mikk,6,2000,0.274647753713924,2
mikk,6,2100,0.265922245419321,2.1
mikk,6,2200,0.260554006726865,2.2
mikk,6,2300,0.257587353913239,2.3
mikk,6,2400,0.258583060113642,2.4
mikk,6,2500,0.255788338682414,2.5
mikk,6,2600,0.253732987557054,2.6
mikk,6,2700,0.248597637506813,2.7
mikk,6,2800,0.245993698525367,2.8
mikk,6,2900,0.235358307832913,2.9
mikk,6,3000,0.232018457308319,3
mikk,6,3100,0.231259602175648,3.1
mikk,6,3200,0.22311110209492,3.2
mikk,6,3300,0.220598930401794,3.3
mikk,6,3400,0.222493576320622,3.4
mikk,6,3500,0.216165975414809,3.5
mikk,6,3600,0.218560268303854,3.6
mikk,6,3700,0.217987740524565,3.7
mikk,6,3800,0.215972113597641,3.8
mikk,6,3900,0.214249446397541,3.9
mikk,6,4000,0.214643421346955,4
mikk,6,4100,0.213699752118449,4.1
mikk,6,4200,0.210619241234324,4.2
mikk,6,4300,0.208413179692956,4.3
mikk,6,4400,0.20404728007845,4.4
mikk,6,4500,0.203428691731752,4.5
mikk,6,4600,0.201931763477227,4.6
mikk,6,4700,0.199880661877092,4.7
mikk,6,4800,0.196893338551758,4.8
mikk,6,4900,0.190721051776277,4.9
mikk,6,5000,0.189849705453272,5
mikk,6,5100,0.191788650801037,5.1
mikk,6,5200,0.184979194832396,5.2
mikk,6,5300,0.184122797333756,5.3
mikk,6,5400,0.186048244760803,5.4
mikk,6,5500,0.185971692214693,5.5
mikk,6,5600,0.184324815389292,5.6
mikk,6,5700,0.181794705013279,5.7
mikk,6,5800,0.183433006524801,5.8
mikk,6,5900,0.182133848703521,5.9
mikk,6,6000,0.183090704554182,6
mikk,6,6100,0.182105772768295,6.1
mikk,6,6200,0.177862507691241,6.2
mikk,6,6300,0.174697217876374,6.3
mikk,6,6400,0.172172069294966,6.4
