chr,bin_bdr,mean,bin_bdr_kb
9,700,0.308258629925746,0.7
9,800,0.30116322313782,0.8
9,900,0.293850555924766,0.9
9,1000,0.28927995275891,1
10,0,0.476845298621527,0
10,100,0.363542702934883,0.1
10,200,0.33939882136255,0.2
10,300,0.331609988534962,0.3
10,400,0.326415118686216,0.4
10,500,0.319069484849443,0.5
10,600,0.31500866806762,0.6
10,700,0.308473737707824,0.7
10,800,0.303863621764955,0.8
10,900,0.296759367910611,0.9
10,1000,0.294775922522934,1
11,0,0.435883267244221,0
11,100,0.313876930054869,0.1
11,200,0.294631251226279,0.2
11,300,0.287217158771665,0.3
11,400,0.27879684541516,0.4
11,500,0.27216655904992,0.5
11,600,0.266273431588012,0.6
11,700,0.262987373126069,0.7
11,800,0.254862373791719,0.8
11,900,0.249508536015046,0.9
11,1000,0.246357153472018,1
12,0,0.490433887758652,0
12,100,0.36090277650566,0.1
12,200,0.344805325598325,0.2
12,300,0.335902449433859,0.3
12,400,0.328367534428034,0.4
12,500,0.319829093279291,0.5
12,600,0.320994909489837,0.6
12,700,0.311423746871673,0.7
12,800,0.30757260476628,0.8
12,900,0.300252384595077,0.9
12,1000,0.296111470452187,1
13,0,0.448097411498091,0
13,100,0.309837886620039,0.1
13,200,0.295259307207984,0.2
13,300,0.284796782458385,0.3
13,400,0.279190693779704,0.4
13,500,0.271900132081674,0.5
13,600,0.266239713297516,0.6
13,700,0.26209902728384,0.7
13,800,0.261719266445025,0.8
13,900,0.253910402434393,0.9
13,1000,0.249545909415167,1
14,0,0.463370338491703,0
14,100,0.341486250440789,0.1
14,200,0.325022501574679,0.2
14,300,0.319648474317736,0.3
14,400,0.319083419824664,0.4
14,500,0.311732372026577,0.5
14,600,0.309828843225168,0.6
14,700,0.301035742212897,0.7
14,800,0.300335304514763,0.8
14,900,0.296266080869905,0.9
14,1000,0.294204829155974,1
15,0,0.503917459218667,0
15,100,0.376773495480908,0.1
15,200,0.356296354656564,0.2
15,300,0.344687869350744,0.3
15,400,0.341796263408824,0.4
15,500,0.333908899012403,0.5
15,600,0.326500859807063,0.6
15,700,0.319324499654773,0.7
15,800,0.311450828801293,0.8
15,900,0.302921860701864,0.9
15,1000,0.301595626469658,1
16,0,0.46759264494384,0
16,100,0.339871303438131,0.1
16,200,0.322072763059255,0.2
16,300,0.307776922992666,0.3
16,400,0.30311395076386,0.4
16,500,0.297852476624874,0.5
16,600,0.290308357255597,0.6
16,700,0.287944097874906,0.7
16,800,0.277339903239889,0.8
16,900,0.277144212622055,0.9
16,1000,0.269844001478257,1
17,0,0.455290857085159,0
17,100,0.341680493749962,0.1
17,200,0.326543010504527,0.2
17,300,0.318812674662637,0.3
17,400,0.313054293498165,0.4
17,500,0.309717300948926,0.5
17,600,0.309094558481112,0.6
17,700,0.30284507489576,0.7
17,800,0.298381491274393,0.8
17,900,0.293469578261551,0.9
17,1000,0.289725284011552,1
18,0,0.426199483350994,0
18,100,0.320792392217686,0.1
18,200,0.301354019141079,0.2
18,300,0.294913540891948,0.3
18,400,0.287230860926344,0.4
18,500,0.281993620487837,0.5
18,600,0.276609345506135,0.6
18,700,0.273297290749289,0.7
18,800,0.266606436210064,0.8
18,900,0.261792770710583,0.9
18,1000,0.255954190389905,1
19,0,0.459608967514005,0
19,100,0.3390808573367,0.1
19,200,0.315790037692637,0.2
19,300,0.302292224118308,0.3
