P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
HdrR	HSOK	18	-0.736695057678966	-8.77620477866068	-1.80633379792185	-3.07701865737588	-0.535648938467823
HdrR	HSOK	19	-0.612863012944349	-4.54692128358543	-0.974627666217723	-1.9457795433668	-0.0034757890686421
HdrR	HSOK	20	-0.719429430328041	-8.34341968405348	-1.00468697443854	-1.64215700563851	-0.36721694323856
HdrR	HSOK	21	-0.913256316186661	-43.401993994704	-3.59566182503315	-5.21856090251511	-1.9727627475512
HdrR	HSOK	22	-0.757930606994634	-16.3248055495572	-0.818747504476584	-1.1277118961962	-0.509783112756965
HdrR	HSOK	23	-0.899634359003682	-36.2995763151286	-3.58571793160164	-5.29061599730329	-1.88081986589999
HdrR	HSOK	24	-0.901631371658743	-35.8933325589073	-2.74597384456481	-4.2130132261546	-1.27893446297502
HNI	HdrR	all	0.785208082118859	59.8597350012716	0.639781581470129	0.612304828660672	0.667258334279587
HNI	HdrR	1	0.852052628488078	23.3036625147523	0.746680966832571	0.676139415742065	0.817222517923077
HNI	HdrR	2	0.784144004291329	12.5116756038543	0.72985390303024	0.617728407740373	0.841979398320107
HNI	HdrR	3	0.606061006387331	7.22483343907977	0.419324633611241	0.294302896615995	0.544346370606486
HNI	HdrR	4	0.857495628946147	22.7885306525881	0.736451704173028	0.649547534592579	0.823355873753476
HNI	HdrR	5	0.719924281717141	9.24164479567563	0.503571088774918	0.357767490813229	0.649374686736607
HNI	HdrR	6	0.653295012703305	8.78769400989739	0.475894649089471	0.342863689846378	0.608925608332563
HNI	HdrR	7	0.576209302624201	7.43458170892546	0.366583548341113	0.268197037711549	0.464970058970677
HNI	HdrR	8	0.780616857898534	13.6672711652862	0.605755698907136	0.456819382607587	0.754692015206686
HNI	HdrR	9	0.655999162137033	7.16268896481242	0.478400038029776	0.336882006749224	0.619918069310328
HNI	HdrR	10	0.945398357806042	91.8558599414064	0.849128800487023	0.812633553474307	0.885624047499739
HNI	HdrR	11	0.494639880929735	3.73722505944932	0.346046671655799	0.164714788617016	0.527378554694581
HNI	HdrR	12	0.856971538618633	37.0696503736646	0.692643349482045	0.582834579837989	0.802452119126101
HNI	HdrR	13	0.560462622449418	6.02835863494644	0.392906960026945	0.250667367035657	0.535146553018232
HNI	HdrR	14	0.894495890728921	41.9342029349299	0.759665611218516	0.66652919667956	0.852802025757471
HNI	HdrR	15	0.756881275803482	11.8708004589957	0.616572338299351	0.492050435497726	0.741094241100976
HNI	HdrR	16	0.693256467804342	11.1606273499751	0.525922007502165	0.417915195091687	0.633928819912642
HNI	HdrR	17	0.879985381524297	14.6615838619474	0.724593230388888	0.559059191678318	0.890127269099459
HNI	HdrR	18	0.750166991711988	8.55199121296309	0.657714254482632	0.493741660443128	0.821686848522137
HNI	HdrR	19	0.701529024368115	14.1840724368037	0.564475356979576	0.458042339170093	0.670908374789059
HNI	HdrR	20	0.653133280042631	5.17789480785116	0.476038625320503	0.26912040481108	0.682956845829925
HNI	HdrR	21	0.877485898331103	27.4504113278746	0.761626806545577	0.676632387185283	0.846621225905872
HNI	HdrR	22	0.592300121782081	6.85442781621268	0.374483757923075	0.241123594004639	0.507843921841512
HNI	HdrR	23	0.802874333217874	12.5092989521836	0.725615349426342	0.613285806168395	0.83794489268429
HNI	HdrR	24	0.845978132801662	18.9636950174512	0.70650358435289	0.57920973236737	0.833797436338409
HNI	HSOK	all	-0.180991564620099	-12.0289226498454	-0.0179338470612776	-0.0213843607716525	-0.0144833333509026
HNI	HSOK	1	-0.13444937124597	-2.85294962775677	-0.00830289749231673	-0.0130892229369008	-0.00351657204773263
HNI	HSOK	2	-0.126445031152409	-2.91675830154825	-0.0138581654539217	-0.0229303177000817	-0.0047860132077617
HNI	HSOK	3	-0.158968606272754	-4.23208294370803	-0.0192560098167093	-0.0289041822389692	-0.00960783739444937
HNI	HSOK	4	-0.282310801448154	-5.18361140304822	-0.0217254908007271	-0.0385487944347558	-0.00490218716669842
HNI	HSOK	5	-0.16068592063046	-2.23321806324904	-0.0184616880261497	-0.0338437308069103	-0.00307964524538913
HNI	HSOK	6	-0.247352180982606	-5.01439996401543	-0.0374012669398413	-0.0555892653684158	-0.0192132685112668
HNI	HSOK	7	-0.200352180576202	-2.39947572460286	-0.0422855432977993	-0.0833899489761344	-0.00118113761946422
HNI	HSOK	8	-0.0750681188202082	-0.82318609663034	-0.00894236644866639	-0.027579231324441	0.00969449842710819
HNI	HSOK	9	-0.216253144745222	-4.58465623610906	-0.0344653051528283	-0.0513369793989121	-0.0175936309067445
HNI	HSOK	10	-0.165178009472746	-4.81846324670475	-0.0055542901282787	-0.00752890691975949	-0.00357967333679791
HNI	HSOK	11	-0.12777626563026	-4.34266585298595	-0.0195199656691243	-0.0313096239411217	-0.00773030739712688
HNI	HSOK	12	-0.200566902758341	-2.82601716716979	-0.0228711570738977	-0.036542441141747	-0.00919987300604834
HNI	HSOK	13	-0.113853523279056	-1.89873794180693	-0.0146240086051727	-0.0286398178770961	-0.000608199333249198
HNI	HSOK	14	-0.220780247499145	-2.97222675217577	-0.0165045009696049	-0.028438027417383	-0.00457097452182672
HNI	HSOK	15	-0.207993102221712	-5.66349422333693	-0.0154190356880299	-0.0242199754276885	-0.00661809594837138
HNI	HSOK	16	-0.139640811964321	-2.4082616239319	-0.015234679705843	-0.0281190641855502	-0.00235029522613575
HNI	HSOK	17	-0.101575880376394	-1.29755332056919	-0.00677948133583379	-0.0206263996371208	0.00706743696545324
HNI	HSOK	18	-0.139329585024707	-3.30544617592372	-0.017816489242384	-0.0321606217182639	-0.0034723567665041
HNI	HSOK	19	-0.14470726354765	-1.70852101389475	-0.0217958382836215	-0.0421900529157943	-0.00140162365144866
HNI	HSOK	20	-0.184739278067459	-1.79658079719582	-0.0238915230517147	-0.0423267110971748	-0.00545633500625468
HNI	HSOK	21	-0.237251423501589	-2.28455833948669	-0.0175089471683316	-0.0353050886097605	0.000287194273097289
HNI	HSOK	22	-0.199183857723168	-2.73878201807752	-0.0290376468164045	-0.0504837183882883	-0.00759157524452066
HNI	HSOK	23	-0.233567762053019	-1.24006174301389	-0.0184332736140289	-0.0478841481482578	0.0110176009202
HNI	HSOK	24	-0.222641800807918	-5.03069070581896	-0.0215675410065574	-0.0331538895354878	-0.00998119247762689
HSOK	HdrR	all	0.819346295300773	70.1081678180198	0.654194221517018	0.627711024759235	0.6806774182748
HSOK	HdrR	1	0.893504001202195	31.1258644518913	0.767211699506379	0.697024729240539	0.837398669772219
HSOK	HdrR	2	0.891105138267162	37.5434951130079	0.796310909468092	0.720867076809606	0.871754742126579
HSOK	HdrR	3	0.632585400889792	6.54491539415321	0.428915681703382	0.295875999891521	0.561955363515244
HSOK	HdrR	4	0.896849503911221	37.720220376505	0.743869363866985	0.664094510419397	0.823644217314572
HSOK	HdrR	5	0.745507328350921	10.9654351837083	0.514821230201492	0.380337052263418	0.649305408139565
