chr	bin_bdr	mean
3	320	0.297918831568084
3	330	0.305576231360726
3	340	0.299441691771135
3	350	0.299805252264376
3	360	0.297243705687229
3	370	0.291893211383424
3	380	0.297289511853127
3	390	0.306359736483163
3	400	0.298585539552083
3	410	0.295572348738659
3	420	0.294445367895769
3	430	0.298038805773852
3	440	0.289740184044623
3	450	0.298258193277596
3	460	0.296423140211498
3	470	0.290064114980033
3	480	0.292419649998361
3	490	0.292088196857138
3	500	0.295012299055476
3	510	0.288806267903033
3	520	0.295773885545328
3	530	0.289000695837074
3	540	0.287432716580895
3	550	0.283571170668147
3	560	0.284749520965946
3	570	0.290833031224478
3	580	0.28022025349216
3	590	0.281213180173987
3	600	0.286057545798572
3	610	0.284253644384004
3	620	0.278987442645975
3	630	0.282665726080684
3	640	0.285620312231719
